transition_id	subject	pid	transition_type	boundary_onset_sec	signal_pair	availability	best_lag_samples	best_lag_sec	best_signed_corr	best_abs_corr	usable_for_alignment
180	sub-46	26	REM_to_Wake	27780.0	HB_1_vs_PSG_F3	available	0	0.0	0.3278569090776847	0.3278569090776847	True
181	sub-48	28	REM_to_Wake	27450.0	HB_1_vs_PSG_F3	available	0	0.0	0.7890810408729542	0.7890810408729542	True
182	sub-49	29	REM_to_Wake	19590.0	HB_1_vs_PSG_F3	available	-2	-2.0	0.7130014641466856	0.7130014641466856	True
183	sub-49	29	REM_to_Wake	24720.0	HB_1_vs_PSG_F3	available	-10	-10.0	0.7124427583212937	0.7124427583212937	True
184	sub-50	88	Wake_to_REM	15450.0	HB_1_vs_PSG_F3	available	0	0.0	0.761329271523531	0.761329271523531	True
185	sub-50	88	REM_to_Wake	23490.0	HB_1_vs_PSG_F3	available	2	2.0	0.9134445372889851	0.9134445372889851	True
186	sub-51	30	REM_to_Wake	10200.0	HB_1_vs_PSG_F3	available	1	1.0	0.8689798362651787	0.8689798362651787	True
187	sub-51	30	REM_to_Wake	18480.0	HB_1_vs_PSG_F3	available	0	0.0	0.7422831680497913	0.7422831680497913	True
188	sub-51	30	Wake_to_REM	18510.0	HB_1_vs_PSG_F3	available	0	0.0	0.7065009801782483	0.7065009801782483	True
189	sub-51	30	REM_to_Wake	23550.0	HB_1_vs_PSG_F3	available	0	0.0	0.7479491474620412	0.7479491474620412	True
190	sub-51	30	Wake_to_REM	23580.0	HB_1_vs_PSG_F3	available	1	1.0	0.7829404188414697	0.7829404188414697	True
191	sub-51	30	REM_to_Wake	23820.0	HB_1_vs_PSG_F3	available	1	1.0	0.8858069497576613	0.8858069497576613	True
192	sub-51	30	REM_to_Wake	26310.0	HB_1_vs_PSG_F3	available	0	0.0	0.802386911924128	0.802386911924128	True
193	sub-52	31	REM_to_Wake	5070.0	HB_1_vs_PSG_F3	available	0	0.0	0.8804170399422389	0.8804170399422389	True
194	sub-52	31	REM_to_Wake	17670.0	HB_1_vs_PSG_F3	available	2	2.0	0.7359832149739578	0.7359832149739578	True
195	sub-52	31	REM_to_Wake	23550.0	HB_1_vs_PSG_F3	available	3	3.0	0.40202713778030535	0.40202713778030535	True
196	sub-52	31	REM_to_Wake	27660.0	HB_1_vs_PSG_F3	available	0	0.0	0.8721070355964124	0.8721070355964124	True
197	sub-53	88	REM_to_Wake	1620.0	HB_1_vs_PSG_F3	available	0	0.0	0.8253137671177396	0.8253137671177396	True
198	sub-53	88	Wake_to_REM	1650.0	HB_1_vs_PSG_F3	available	0	0.0	0.8337927982241664	0.8337927982241664	True
199	sub-53	88	REM_to_Wake	18540.0	HB_1_vs_PSG_F3	available	0	0.0	0.7100700142550243	0.7100700142550243	True
200	sub-53	88	REM_to_Wake	18840.0	HB_1_vs_PSG_F3	available	0	0.0	0.8710097675181069	0.8710097675181069	True
201	sub-53	88	Wake_to_REM	18870.0	HB_1_vs_PSG_F3	available	0	0.0	0.8700724650209242	0.8700724650209242	True
202	sub-53	88	REM_to_Wake	19080.0	HB_1_vs_PSG_F3	available	0	0.0	0.9388040192164503	0.9388040192164503	True
