transition_id	subject	pid	transition_type	boundary_onset_sec	headband_start_sample	headband_stop_sample	psg_start_sample	psg_stop_sample	window_sample_count_difference	boundary_sample_difference	sample_alignment_flag
223	sub-57	77	REM_to_Wake	29340.0	7480320	7541760	7480320	7541760	0	0	pass
224	sub-57	77	Wake_to_REM	29370.0	7488000	7549440	7488000	7549440	0	0	pass
225	sub-57	77	REM_to_Wake	30030.0	7656960	7718400	7656960	7718400	0	0	pass
226	sub-58	78	REM_to_Wake	19590.0	4984320	5045760	4984320	5045760	0	0	pass
227	sub-58	78	REM_to_Wake	20490.0	5214720	5276160	5214720	5276160	0	0	pass
228	sub-58	78	Wake_to_REM	20520.0	5222400	5283840	5222400	5283840	0	0	pass
229	sub-58	78	REM_to_Wake	21540.0	5483520	5544960	5483520	5544960	0	0	pass
230	sub-58	78	Wake_to_REM	21570.0	5491200	5552640	5491200	5552640	0	0	pass
231	sub-58	78	REM_to_Wake	26610.0	6781440	6842880	6781440	6842880	0	0	pass
232	sub-58	78	REM_to_Wake	29970.0	7641600	7703040	7641600	7703040	0	0	pass
233	sub-58	78	Wake_to_REM	30000.0	7649280	7710720	7649280	7710720	0	0	pass
234	sub-58	78	REM_to_Wake	30120.0	7680000	7721472	7680000	7721472	0	0	pass
235	sub-59	79	REM_to_Wake	14100.0	3578880	3640320	3578880	3640320	0	0	pass
236	sub-59	79	REM_to_Wake	21510.0	5475840	5537280	5475840	5537280	0	0	pass
237	sub-59	79	REM_to_Wake	27270.0	6950400	7011840	6950400	7011840	0	0	pass
238	sub-59	79	Wake_to_REM	27450.0	6996480	7057920	6996480	7057920	0	0	pass
239	sub-59	79	REM_to_Wake	28530.0	7272960	7334400	7272960	7334400	0	0	pass
240	sub-59	79	Wake_to_REM	28560.0	7280640	7342080	7280640	7342080	0	0	pass
241	sub-59	79	REM_to_Wake	28950.0	7380480	7441920	7380480	7441920	0	0	pass
242	sub-59	79	Wake_to_REM	28980.0	7388160	7449600	7388160	7449600	0	0	pass
243	sub-61	79	REM_to_Wake	9900.0	2503680	2565120	2503680	2565120	0	0	pass
244	sub-61	79	REM_to_Wake	16530.0	4200960	4262400	4200960	4262400	0	0	pass
245	sub-61	79	REM_to_Wake	26550.0	6766080	6827520	6766080	6827520	0	0	pass
246	sub-61	79	Wake_to_REM	26580.0	6773760	6835200	6773760	6835200	0	0	pass
247	sub-61	79	REM_to_Wake	26940.0	6865920	6927360	6865920	6927360	0	0	pass
248	sub-61	79	Wake_to_REM	26970.0	6873600	6935040	6873600	6935040	0	0	pass
249	sub-61	79	REM_to_Wake	27120.0	6912000	6973440	6912000	6973440	0	0	pass
250	sub-61	79	Wake_to_REM	27150.0	6919680	6981120	6919680	6981120	0	0	pass
251	sub-62	80	REM_to_Wake	17040.0	4331520	4392960	4331520	4392960	0	0	pass
252	sub-62	80	REM_to_Wake	25980.0	6620160	6681600	6620160	6681600	0	0	pass
253	sub-63	81	REM_to_Wake	22920.0	5836800	5898240	5836800	5898240	0	0	pass
254	sub-64	82	REM_to_Wake	11250.0	2849280	2910720	2849280	2910720	0	0	pass
255	sub-64	82	Wake_to_REM	11280.0	2856960	2918400	2856960	2918400	0	0	pass
256	sub-64	82	REM_to_Wake	21480.0	5468160	5529600	5468160	5529600	0	0	pass
