subject	pid	comparator	channel	target_snr_db	achieved_snr_db	absolute_snr_error_db	noise_scale	valid_samples	calibration_pass
sub-82	48	H2-BOTH-20DB	HB_2	20.0	20.0	0.0	6.424395022730214	3409920	True
sub-82	48	H2-BOTH-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	21.705901528424544	3409920	True
sub-82	48	H2-BOTH-10DB	HB_2	10.0	10.000000000000004	3.552713678800501e-15	20.31572086047668	3409920	True
sub-82	48	H2-BOTH-0DB	HB_1	0.0	1.928654933106574e-15	1.928654933106574e-15	68.64008749715161	3409920	True
sub-82	48	H2-BOTH-0DB	HB_2	0.0	-1.9286549331065743e-15	1.9286549331065743e-15	64.24395022730214	3409920	True
sub-82	48	H2-HB1-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	21.705901528424544	3409920	True
sub-82	48	H2-HB2-10DB	HB_2	10.0	10.000000000000004	3.552713678800501e-15	20.31572086047668	3409920	True
sub-88	55	H2-BOTH-20DB	HB_1	20.0	19.999999999999996	3.552713678800501e-15	6.5048010709833095	3444480	True
sub-88	55	H2-BOTH-20DB	HB_2	20.0	19.999999999999993	7.105427357601002e-15	5.432362828390112	3444480	True
sub-88	55	H2-BOTH-10DB	HB_1	10.0	10.000000000000004	3.552713678800501e-15	20.569987110609866	3444480	True
sub-88	55	H2-BOTH-10DB	HB_2	10.0	9.999999999999993	7.105427357601002e-15	17.178639614147162	3444480	True
sub-88	55	H2-BOTH-0DB	HB_1	0.0	-1.9286549331065743e-15	1.9286549331065743e-15	65.0480107098331	3444480	True
sub-88	55	H2-BOTH-0DB	HB_2	0.0	-5.785964799319725e-15	5.785964799319725e-15	54.32362828390112	3444480	True
sub-88	55	H2-HB1-10DB	HB_1	10.0	10.000000000000004	3.552713678800501e-15	20.569987110609866	3444480	True
sub-88	55	H2-HB2-10DB	HB_2	10.0	9.999999999999993	7.105427357601002e-15	17.178639614147162	3444480	True
sub-97	64	H2-BOTH-20DB	HB_1	20.0	20.0	0.0	3.387419322097206	4166400	True
sub-97	64	H2-BOTH-20DB	HB_2	20.0	19.999999999999996	3.552713678800501e-15	3.536250341117434	4166400	True
sub-97	64	H2-BOTH-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	10.71196044789071	4166400	True
sub-97	64	H2-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	11.182605454478471	4166400	True
sub-97	64	H2-BOTH-0DB	HB_1	0.0	-1.9286549331065743e-15	1.9286549331065743e-15	33.87419322097206	4166400	True
sub-97	64	H2-BOTH-0DB	HB_2	0.0	3.857309866213148e-15	3.857309866213148e-15	35.36250341117434	4166400	True
sub-97	64	H2-HB1-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	10.71196044789071	4166400	True
sub-97	64	H2-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	11.182605454478471	4166400	True
