subject	pid	condition	channel	target_snr_db	achieved_snr_db	absolute_snr_error_db	noise_scale	valid_samples	calibration_pass
sub-59	79	TRAIN-BOTH-20DB	HB_2	20.0	20.000000000000004	3.552713678800501e-15	11.036028546959951	3974400	True
sub-59	79	TRAIN-BOTH-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	16.46637774146525	3974400	True
sub-59	79	TRAIN-BOTH-10DB	HB_2	10.0	10.00000000000001	1.0658141036401503e-14	34.89898653103195	3974400	True
sub-59	79	TRAIN-HB1-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	16.46637774146525	3974400	True
sub-59	79	TRAIN-HB2-10DB	HB_2	10.0	10.00000000000001	1.0658141036401503e-14	34.89898653103195	3974400	True
sub-60	80	TRAIN-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	4.26324580348788	3344640	True
sub-60	80	TRAIN-BOTH-20DB	HB_2	20.0	20.000000000000004	3.552713678800501e-15	4.801313941704099	3344640	True
sub-60	80	TRAIN-BOTH-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	13.481566964176315	3344640	True
sub-60	80	TRAIN-BOTH-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	15.183087817305855	3344640	True
sub-60	80	TRAIN-HB1-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	13.481566964176315	3344640	True
sub-60	80	TRAIN-HB2-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	15.183087817305855	3344640	True
sub-61	79	TRAIN-BOTH-20DB	HB_1	20.0	19.999999999999996	3.552713678800501e-15	64.60245471370004	3640320	True
sub-61	79	TRAIN-BOTH-20DB	HB_2	20.0	19.999999999999996	3.552713678800501e-15	32.68806070414698	3640320	True
sub-61	79	TRAIN-BOTH-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	204.290899333173	3640320	True
sub-61	79	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999995	5.329070518200751e-15	103.36872411895183	3640320	True
sub-61	79	TRAIN-HB1-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	204.290899333173	3640320	True
sub-61	79	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999995	5.329070518200751e-15	103.36872411895183	3640320	True
sub-62	80	TRAIN-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	3.390631194901038	3774720	True
sub-62	80	TRAIN-BOTH-20DB	HB_2	20.0	20.000000000000004	3.552713678800501e-15	5.57751161460312	3774720	True
sub-62	80	TRAIN-BOTH-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	10.722117281505568	3774720	True
sub-62	80	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999996	3.552713678800501e-15	17.637640378189115	3774720	True
sub-62	80	TRAIN-HB1-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	10.722117281505568	3774720	True
sub-62	80	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999996	3.552713678800501e-15	17.637640378189115	3774720	True
sub-63	81	TRAIN-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	4.158974800673272	3394560	True
sub-63	81	TRAIN-BOTH-20DB	HB_2	20.0	20.000000000000004	3.552713678800501e-15	3.9064418127486853	3394560	True
