subject	role	exists	bytes	relative_path
sub-30	psg_channels	True	327	sub-30/eeg/sub-30_task-Sleep_acq-psg_channels.tsv
sub-30	psg_sidecar	True	498	sub-30/eeg/sub-30_task-Sleep_acq-psg_eeg.json
sub-30	psg_events_json	True	1022	sub-30/eeg/sub-30_task-Sleep_acq-psg_events.json
sub-30	psg_events_tsv	True	26083	sub-30/eeg/sub-30_task-Sleep_acq-psg_events.tsv
sub-31	scan_metadata	True	93	sub-31/sub-31_scans.tsv
sub-31	headband_channels	True	237	sub-31/eeg/sub-31_task-Sleep_acq-headband_channels.tsv
sub-31	headband_sidecar	True	513	sub-31/eeg/sub-31_task-Sleep_acq-headband_eeg.json
sub-31	headband_events_json	True	837	sub-31/eeg/sub-31_task-Sleep_acq-headband_events.json
sub-31	headband_events_tsv	True	24886	sub-31/eeg/sub-31_task-Sleep_acq-headband_events.tsv
sub-31	psg_channels	True	327	sub-31/eeg/sub-31_task-Sleep_acq-psg_channels.tsv
sub-31	psg_sidecar	True	498	sub-31/eeg/sub-31_task-Sleep_acq-psg_eeg.json
sub-31	psg_events_json	True	1022	sub-31/eeg/sub-31_task-Sleep_acq-psg_events.json
sub-31	psg_events_tsv	True	26595	sub-31/eeg/sub-31_task-Sleep_acq-psg_events.tsv
sub-32	scan_metadata	True	93	sub-32/sub-32_scans.tsv
sub-32	headband_channels	True	237	sub-32/eeg/sub-32_task-Sleep_acq-headband_channels.tsv
sub-32	headband_sidecar	True	513	sub-32/eeg/sub-32_task-Sleep_acq-headband_eeg.json
sub-32	headband_events_json	True	837	sub-32/eeg/sub-32_task-Sleep_acq-headband_events.json
sub-32	headband_events_tsv	True	24346	sub-32/eeg/sub-32_task-Sleep_acq-headband_events.tsv
sub-32	psg_channels	True	327	sub-32/eeg/sub-32_task-Sleep_acq-psg_channels.tsv
sub-32	psg_sidecar	True	498	sub-32/eeg/sub-32_task-Sleep_acq-psg_eeg.json
sub-32	psg_events_json	True	1022	sub-32/eeg/sub-32_task-Sleep_acq-psg_events.json
sub-32	psg_events_tsv	True	26019	sub-32/eeg/sub-32_task-Sleep_acq-psg_events.tsv
sub-33	scan_metadata	True	93	sub-33/sub-33_scans.tsv
