analysis_version	partition	pid	epochs_sf_b	macro_f1_sf_b	five_stage_macro_recall_sf_b	cohen_kappa_sf_b	epochs_sf_c	macro_f1_sf_c	five_stage_macro_recall_sf_c	cohen_kappa_sf_c	epochs_sf_c_minus_sf_b	macro_f1_sf_c_minus_sf_b	five_stage_macro_recall_sf_c_minus_sf_b	cohen_kappa_sf_c_minus_sf_b
v0.1	test	88	2324	0.2995483665001474	0.5056771901013387	0.27490942491197634	2300	0.3164064618037939	0.5295673019602928	0.3048427098824531	-24	0.016858095303646514	0.023890111858954066	0.02993328497047676
v0.1	test	90	1055	0.47071150066373046	0.5088929108943935	0.4383366930273427	1051	0.4978449058497616	0.524677584853088	0.4627066902411082	-4	0.027133405186031134	0.01578467395869454	0.024369997213765537
v0.1	test	102	879	0.41695024423367527	0.5510685804134315	0.4222929718841224	875	0.47967003687051013	0.6110962578355117	0.4627833286794789	-4	0.06271979263683486	0.06002767742208015	0.04049035679535651
v0.1	test	107	832	0.349996773291563	0.43212122767629885	0.3418846866644023	828	0.4287993248800842	0.5150374133091858	0.47453688622494405	-4	0.07880255158852123	0.082916185632887	0.13265219956054175
v0.1	train	1	997	0.4971421035463598	0.5845225559699976	0.4448709116069679	993	0.5605581904024566	0.7053279875264507	0.5112915169384111	-4	0.06341608685609679	0.12080543155645307	0.06642060533144323
v0.1	train	6	409	0.5290187434686839	0.5912853812853813	0.538857750054752	405	0.5425913496917459	0.5856064539559686	0.5872915613946438	-4	0.013572606223062	-0.005678927329412775	0.048433811339891775
v0.1	train	8	984	0.4718682627477896	0.6285140636443953	0.4093380414213704	976	0.47568306470465166	0.6624564851475679	0.3957854289286694	-8	0.0038148019568620684	0.033942421503172615	-0.01355261249270101
v0.1	train	9	1068	0.42945852839404663	0.5109921465611279	0.36808324014682603	1056	0.4900974464526432	0.6075288581975689	0.4148027600001756	-12	0.06063891805859656	0.09653671163644095	0.046719519853349545
v0.1	train	10	1093	0.402587893485265	0.5672601937935597	0.39575837159908056	1085	0.43376629082287776	0.6782870594097783	0.4206133890354491	-8	0.03117839733761274	0.11102686561621855	0.02485501743636853
v0.1	train	11	1023	0.32787009162805253	0.5079515611384562	0.38324944071588374	1015	0.366305804148377	0.602822733801493	0.41684196103404736	-8	0.03843571252032446	0.0948711726630368	0.03359252031816362
v0.1	train	13	1048	0.4305968620249777	0.5478227210586719	0.40093416002065874	1044	0.5327997794191195	0.6870127835544654	0.46590276489144555	-4	0.10220291739414178	0.13919006249579347	0.06496860487078682
v0.1	train	14	1034	0.4236519066626171	0.5654880999222431	0.41854979334997444	1030	0.47622368442196983	0.6462367363264123	0.478393921949842	-4	0.052571777759352734	0.08074863640416918	0.05984412859986754
v0.1	train	16	933	0.5394987096204406	0.5753651881122691	0.5994754652562808	929	0.5562294273483119	0.6675022900344751	0.6269618187565679	-4	0.01673071772787138	0.09213710192220603	0.027486353500287053
v0.1	train	19	952	0.33780123395889355	0.41257254111951325	0.25788659603478625	948	0.33692204627339867	0.41864932469604116	0.25558832254349373	-4	-0.0008791876854948866	0.006076783576527911	-0.002298273491292524
v0.1	train	20	859	0.5385567877911284	0.5975415245955257	0.53290477960659	855	0.6259423443088569	0.705742973832441	0.5985882574841215	-4	0.0873855565177285	0.10820144923691533	0.06568347787753148
v0.1	train	21	1108	0.4062609843267979	0.4850798798606569	0.2847108573471687	1104	0.4762328407133709	0.5620566024659854	0.36318088460096165	-4	0.069971856386573	0.07697672260532851	0.07847002725379293
v0.1	train	24	820	0.3500436977080753	0.34497507073467154	0.3612457235013662	812	0.44930486373457806	0.49904491116374106	0.45320321311598444	-8	0.09926116602650276	0.15406984042906952	0.09195748961461825
v0.1	train	29	902	0.5667226528720766	0.6904571099338541	0.5899778734427346	898	0.5941733755576932	0.7239340616025677	0.6118593076649849	-4	0.027450722685616658	0.03347695166871356	0.021881434222250307
v0.1	train	31	923	0.3561728979162015	0.662906876800682	0.40273913508079673	919	0.3955487756824645	0.5007571365832235	0.47340568963192664	-4	0.039375877766263	-0.16214974021745854	0.07066655455112991
v0.1	train	32	924	0.15091719258891162	0.27245755811586536	0.07195654699517928	920	0.15983246196820136	0.3150239989895162	0.09234682607334577	-4	0.008915269379289742	0.04256644087365086	0.020390279078166484
v0.1	train	33	859	0.49881253953143967	0.5906415144147024	0.4424131765849141	851	0.549102696713694	0.6562821390779798	0.4657795668289818	-8	0.05029015718225438	0.06564062466327747	0.023366390244067725
v0.1	train	34	1003	0.5795562940329599	0.6419925320307124	0.583790005229121	999	0.6450524421997862	0.7602358479823523	0.6275002821545463	-4	0.06549614816682625	0.11824331595163995	0.043710276925425395
v0.1	train	35	881	0.3899431908525205	0.42692492135022536	0.3183802438901656	873	0.44263079493176394	0.4859506675338663	0.366094148961535	-8	0.052687604079243444	0.059025746183640926	0.04771390507136941
v0.1	train	36	1114	0.33233179097027027	0.3729656775156653	0.3267929451439402	1110	0.3384537543194868	0.3812223868422367	0.3213549561434107	-4	0.006121963349216553	0.00825670932657141	-0.005437989000529497
v0.1	train	38	837	0.3789805850639257	0.48612681420483794	0.30401712057488717	829	0.44439863566215443	0.5646121510673234	0.3768848112683243	-8	0.06541805059822875	0.07848533686248549	0.07286769069343713
v0.1	train	39	969	0.34717184157978653	0.42694268336346086	0.1890552400619514	965	0.4193177986050616	0.5590638443227943	0.29632267069245455	-4	0.07214595702527504	0.13212116095933346	0.10726743063050315
